cliente_id,nombre_cliente,segmento_cliente,segmentos_observados,cantidad_segmentos_observados,segmento_conflictivo,segmento_metodo_resolucion,ciudad,ciudad_desconocida,ciudad_presento_nulos,edad,ingreso_estimado,es_travel_lover,es_streaming_lover,es_food_lover,es_tech_lover,cantidad_lovers,lovers,lover_principal
C000001,Cliente 0001,Affluent,Affluent|Mass,2,True,moda,Guayaquil,False,False,37,5885.36,False,False,False,True,1,Tech Lover,Tech Lover
C000002,Cliente 0002,Mass,Mass|PyME,2,True,moda,Loja,False,False,55,651.61,False,False,False,False,0,,Generalista
C000003,Cliente 0003,Affluent,Affluent,1,False,unico,Manta,False,False,31,2471.02,False,False,True,False,1,Food Lover,Food Lover
C000004,Cliente 0004,Mass,Mass,1,False,unico,Guayaquil,False,False,53,2186.70,False,False,False,False,0,,Sin información transaccional
C000005,Cliente 0005,Premium,Premium,1,False,unico,Manta,False,False,45,3223.56,False,False,False,False,0,,Sin información transaccional
C000006,Cliente 0006,Affluent,Affluent,1,False,unico,Manta,False,False,38,898.59,False,False,False,False,0,,Generalista
C000007,Cliente 0007,Affluent,Affluent,1,False,unico,Quito,False,True,49,2302.95,True,False,True,False,2,Travel Lover|Food Lover,Travel Lover
C000008,Cliente 0008,PyME,PyME,1,False,unico,Ambato,False,False,44,3050.52,False,False,True,False,1,Food Lover,Food Lover
C000009,Cliente 0009,Joven,Joven,1,False,unico,Quito,False,False,36,350.00,False,False,False,False,0,,Generalista
C000010,Cliente 0010,Mass,Mass,1,False,unico,Quito,False,False,45,695.13,False,False,False,False,0,,Generalista
C000011,Cliente 0011,Mass,Mass,1,False,unico,Guayaquil,False,False,36,964.58,False,False,False,False,0,,Sin información transaccional
C000012,Cliente 0012,Mass,Mass,1,False,unico,Cuenca,False,False,33,929.56,False,True,True,True,3,Streaming Lover|Food Lover|Tech Lover,Streaming Lover
C000013,Cliente 0013,Mass,Mass,1,False,unico,Quito,False,False,47,720.55,False,False,False,False,0,,Generalista
C000014,Cliente 0014,Mass,Mass,1,False,unico,Quito,False,False,18,731.54,False,False,False,True,1,Tech Lover,Tech Lover
C000015,Cliente 0015,Mass,Mass,1,False,unico,Ambato,False,False,61,474.67,False,False,False,True,1,Tech Lover,Tech Lover
C000016,Cliente 0016,Mass,Mass,1,False,unico,Guayaquil,False,False,47,622.99,False,False,False,False,0,,Generalista
C000017,Cliente 0017,Mass,Mass,1,False,unico,Loja,False,False,46,612.39,True,False,False,False,1,Travel Lover,Travel Lover
C000018,Cliente 0018,Mass,Mass,1,False,unico,Manta,False,False,42,505.61,False,True,False,False,1,Streaming Lover,Streaming Lover
C000019,Cliente 0019,Mass,Mass|Premium,2,True,moda,Guayaquil,False,False,41,1682.29,True,False,False,False,1,Travel Lover,Travel Lover
C000020,Cliente 0020,Mass,Mass,1,False,unico,Guayaquil,False,False,48,600.42,False,False,False,False,0,,Generalista
C000021,Cliente 0021,Mass,Mass,1,False,unico,Quito,False,False,31,997.11,False,False,False,False,0,,Generalista
C000022,Cliente 0022,Mass,Mass,1,False,unico,Manta,False,False,49,855.90,False,False,False,False,0,,Sin información transaccional
C000023,Cliente 0023,Affluent,Affluent,1,False,unico,Quito,False,False,41,3313.83,False,False,False,False,0,,Sin información transaccional
C000024,Cliente 0024,Mass,Mass|Premium,2,True,moda,Guayaquil,False,False,53,599.45,False,False,False,False,0,,Generalista
C000025,Cliente 0025,Joven,Joven,1,False,unico,Manta,False,False,26,350.00,True,False,False,False,1,Travel Lover,Travel Lover
C000026,Cliente 0026,Mass,Mass,1,False,unico,Quito,False,False,18,784.00,False,True,False,False,1,Streaming Lover,Streaming Lover
C000027,Cliente 0027,Mass,Mass,1,False,unico,Guayaquil,False,False,18,1471.27,False,False,False,False,0,,Generalista
C000028,Cliente 0028,Mass,Mass,1,False,unico,Loja,False,False,18,781.82,False,False,False,False,0,,Generalista
C000029,Cliente 0029,Joven,Joven,1,False,unico,Guayaquil,False,False,28,632.38,False,False,True,False,1,Food Lover,Food Lover
C000030,Cliente 0030,Joven,Joven,1,False,unico,Quito,False,False,37,1002.91,False,False,False,False,0,,Generalista
C000031,Cliente 0031,Joven,Joven,1,False,unico,Quito,False,False,48,1683.31,False,False,True,False,1,Food Lover,Food Lover
C000032,Cliente 0032,Affluent,Affluent,1,False,unico,Quito,False,False,19,2495.57,False,False,False,False,0,,Sin información transaccional
C000033,Cliente 0033,PyME,PyME,1,False,unico,Ambato,False,False,45,2874.75,False,False,False,False,0,,Sin información transaccional
C000034,Cliente 0034,Premium,Premium,1,False,unico,Quito,False,False,39,4102.36,False,False,False,False,0,,Sin información transaccional
C000035,Cliente 0035,PyME,PyME,1,False,unico,Guayaquil,False,False,36,2601.37,False,False,False,False,0,,Generalista
C000036,Cliente 0036,Mass,Mass,1,False,unico,Cuenca,False,False,18,1709.76,False,False,True,False,1,Food Lover,Food Lover
C000037,Cliente 0037,PyME,PyME,1,False,unico,Guayaquil,False,False,46,2294.24,False,False,False,False,0,,Sin información transaccional
C000038,Cliente 0038,Mass,Mass,1,False,unico,Guayaquil,False,False,44,713.90,False,False,False,False,0,,Generalista
C000039,Cliente 0039,PyME,PyME,1,False,unico,Cuenca,False,False,37,3507.57,False,False,False,False,0,,Sin información transaccional
C000040,Cliente 0040,Mass,Mass,1,False,unico,Guayaquil,False,False,56,656.11,False,False,False,False,0,,Sin información transaccional
C000041,Cliente 0041,Joven,Joven,1,False,unico,Quito,False,False,42,591.95,False,False,False,False,0,,Generalista
C000042,Cliente 0042,Premium,Premium,1,False,unico,Quito,False,False,43,7961.83,False,False,False,False,0,,Sin información transaccional
C000043,Cliente 0043,Affluent,Affluent,1,False,unico,Quito,False,False,36,1339.41,False,False,False,False,0,,Generalista
C000044,Cliente 0044,Mass,Mass,1,False,unico,Guayaquil,False,False,33,717.90,False,False,False,False,0,,Sin información transaccional
C000045,Cliente 0045,Mass,Mass,1,False,unico,Cuenca,False,False,18,806.19,False,False,True,False,1,Food Lover,Food Lover
C000046,Cliente 0046,Mass,Mass,1,False,unico,Cuenca,False,False,40,1222.90,True,False,False,False,1,Travel Lover,Travel Lover
C000047,Cliente 0047,Mass,Mass,1,False,unico,Quito,False,False,44,610.24,False,False,False,False,0,,Generalista
C000048,Cliente 0048,Mass,Mass,1,False,unico,Guayaquil,False,False,56,1735.56,False,False,False,False,0,,Generalista
C000049,Cliente 0049,Mass,Mass,1,False,unico,Guayaquil,False,False,27,1168.89,False,False,False,False,0,,Sin información transaccional
C000050,Cliente 0050,Mass,Affluent|Mass,2,True,moda,Cuenca,False,False,34,760.94,False,False,False,True,1,Tech Lover,Tech Lover
C000051,Cliente 0051,Joven,Joven,1,False,unico,Guayaquil,False,False,48,621.93,True,False,False,False,1,Travel Lover,Travel Lover
C000052,Cliente 0052,Mass,Mass,1,False,unico,Cuenca,False,False,47,492.23,False,False,False,False,0,,Generalista
C000053,Cliente 0053,Affluent,Affluent,1,False,unico,Quito,False,False,31,1802.10,False,False,False,False,0,,Sin información transaccional
C000054,Cliente 0054,Affluent,Affluent,1,False,unico,Quito,False,False,27,2185.19,False,False,False,False,0,,Generalista
C000055,Cliente 0055,Mass,Mass,1,False,unico,Quito,False,False,30,1880.45,True,False,False,False,1,Travel Lover,Travel Lover
C000056,Cliente 0056,Affluent,Affluent,1,False,unico,Ambato,False,False,56,2546.17,False,False,False,False,0,,Sin información transaccional
C000057,Cliente 0057,Mass,Mass,1,False,unico,Quito,False,False,25,1511.91,False,False,False,False,0,,Generalista
C000058,Cliente 0058,Affluent,Affluent,1,False,unico,Ambato,False,False,34,2848.80,False,False,False,False,0,,Generalista
C000059,Cliente 0059,Affluent,Affluent,1,False,unico,Guayaquil,False,False,31,2880.75,False,False,True,True,2,Food Lover|Tech Lover,Tech Lover
C000060,Cliente 0060,Premium,Premium,1,False,unico,Cuenca,False,False,18,8409.75,False,False,False,False,0,,Sin información transaccional
C000061,Cliente 0061,PyME,PyME,1,False,unico,Quito,False,False,49,2806.06,False,True,False,False,1,Streaming Lover,Streaming Lover
C000062,Cliente 0062,Premium,Premium,1,False,unico,Quito,False,False,47,3540.36,False,False,False,False,0,,Generalista
C000063,Cliente 0063,Mass,Mass,1,False,unico,Quito,False,False,21,1134.37,True,True,False,False,2,Travel Lover|Streaming Lover,Travel Lover
C000064,Cliente 0064,Affluent,Affluent,1,False,unico,Quito,False,False,55,3066.82,False,False,False,True,1,Tech Lover,Tech Lover
C000065,Cliente 0065,Premium,Premium,1,False,unico,Cuenca,False,False,24,6186.59,False,True,False,False,1,Streaming Lover,Streaming Lover
C000066,Cliente 0066,Mass,Mass,1,False,unico,Cuenca,False,False,18,1104.18,False,False,False,True,1,Tech Lover,Tech Lover
C000067,Cliente 0067,Joven,Joven|Premium,2,True,moda,Manta,False,False,20,844.75,True,False,False,False,1,Travel Lover,Travel Lover
C000068,Cliente 0068,Affluent,Affluent,1,False,unico,Quito,False,False,33,2180.77,False,False,False,True,1,Tech Lover,Tech Lover
C000069,Cliente 0069,Mass,Mass,1,False,unico,Loja,False,False,30,658.85,False,False,True,True,2,Food Lover|Tech Lover,Tech Lover
C000070,Cliente 0070,Premium,Premium,1,False,unico,Guayaquil,False,False,18,7092.08,False,False,False,False,0,,Sin información transaccional
C000071,Cliente 0071,PyME,PyME,1,False,unico,Ambato,False,False,37,3031.86,False,False,False,False,0,,Sin información transaccional
C000072,Cliente 0072,Premium,Premium,1,False,unico,Guayaquil,False,False,47,2316.76,False,False,True,False,1,Food Lover,Food Lover
C000073,Cliente 0073,Premium,Premium,1,False,unico,Quito,False,False,39,7344.02,False,False,False,False,0,,Generalista
C000074,Cliente 0074,Mass,Mass,1,False,unico,Ambato,False,False,49,1221.20,False,True,False,False,1,Streaming Lover,Streaming Lover
C000075,Cliente 0075,PyME,PyME,1,False,unico,Quito,False,False,57,3180.02,True,False,False,False,1,Travel Lover,Travel Lover
C000076,Cliente 0076,Premium,Premium,1,False,unico,Quito,False,False,47,3283.02,False,False,False,False,0,,Sin información transaccional
C000077,Cliente 0077,Mass,Mass,1,False,unico,Quito,False,False,29,1140.64,False,False,False,True,1,Tech Lover,Tech Lover
C000078,Cliente 0078,Mass,Affluent|Mass,2,True,moda,Quito,False,False,55,680.08,False,False,False,False,0,,Generalista
C000079,Cliente 0079,Mass,Mass,1,False,unico,Ambato,False,False,38,1077.30,False,False,False,False,0,,Generalista
C000080,Cliente 0080,Mass,Mass,1,False,unico,Ambato,False,False,18,891.27,False,False,False,False,0,,Generalista
C000081,Cliente 0081,Mass,Mass,1,False,unico,Guayaquil,False,True,24,956.20,True,False,False,False,1,Travel Lover,Travel Lover
C000082,Cliente 0082,Affluent,Affluent|Mass,2,True,moda,Guayaquil,False,False,35,1462.58,False,False,False,True,1,Tech Lover,Tech Lover
C000083,Cliente 0083,Mass,Mass,1,False,unico,Cuenca,False,False,36,555.30,False,False,False,False,0,,Generalista
C000084,Cliente 0084,Premium,Joven|Premium,2,True,moda,Guayaquil,False,False,50,4630.39,False,False,False,True,1,Tech Lover,Tech Lover
C000085,Cliente 0085,Mass,Mass,1,False,unico,Guayaquil,False,False,51,2098.71,False,False,True,False,1,Food Lover,Food Lover
C000086,Cliente 0086,Mass,Mass,1,False,unico,Quito,False,False,36,969.86,False,True,False,False,1,Streaming Lover,Streaming Lover
C000087,Cliente 0087,Mass,Mass,1,False,unico,Guayaquil,False,False,47,797.22,False,True,False,False,1,Streaming Lover,Streaming Lover
C000088,Cliente 0088,Affluent,Affluent,1,False,unico,Guayaquil,False,False,49,2038.02,False,False,False,False,0,,Sin información transaccional
C000089,Cliente 0089,Premium,Premium,1,False,unico,Quito,False,False,39,9401.64,True,False,False,False,1,Travel Lover,Travel Lover
C000090,Cliente 0090,Mass,Mass,1,False,unico,Quito,False,False,30,883.43,False,False,False,False,0,,Generalista
C000091,Cliente 0091,Affluent,Affluent,1,False,unico,Quito,False,False,38,2527.20,False,False,False,False,0,,Sin información transaccional
C000092,Cliente 0092,Mass,Mass,1,False,unico,Quito,False,False,48,1339.39,False,False,False,False,0,,Sin información transaccional
C000093,Cliente 0093,Mass,Mass,1,False,unico,Ambato,False,False,38,1229.98,False,False,False,False,0,,Generalista
C000094,Cliente 0094,Mass,Mass,1,False,unico,Cuenca,False,False,38,467.24,False,False,False,False,0,,Sin información transaccional
C000095,Cliente 0095,Mass,Mass,1,False,unico,Quito,False,False,48,750.36,False,False,False,False,0,,Sin información transaccional
C000096,Cliente 0096,Premium,Premium,1,False,unico,Cuenca,False,False,52,3886.76,False,False,True,False,1,Food Lover,Food Lover
C000097,Cliente 0097,Mass,Mass,1,False,unico,Guayaquil,False,False,46,952.91,False,False,False,False,0,,Sin información transaccional
C000098,Cliente 0098,Mass,Mass,1,False,unico,Guayaquil,False,False,49,636.04,False,False,False,False,0,,Sin información transaccional
C000099,Cliente 0099,Mass,Mass,1,False,unico,Guayaquil,False,False,18,1703.63,False,False,False,False,0,,Sin información transaccional
C000100,Cliente 0100,Mass,Mass,1,False,unico,Cuenca,False,False,46,870.10,False,False,True,False,1,Food Lover,Food Lover
C000101,Cliente 0101,Mass,Joven|Mass,2,True,moda,Quito,False,False,34,2125.11,False,False,True,False,1,Food Lover,Food Lover
C000102,Cliente 0102,Mass,Mass|PyME,2,True,moda,Quito,False,False,34,518.55,False,False,False,False,0,,Generalista
C000103,Cliente 0103,Premium,Premium,1,False,unico,Guayaquil,False,False,42,4597.87,True,False,False,False,1,Travel Lover,Travel Lover
C000104,Cliente 0104,Mass,Mass,1,False,unico,Quito,False,False,49,1507.45,False,False,False,False,0,,Sin información transaccional
C000105,Cliente 0105,Premium,Premium,1,False,unico,Guayaquil,False,False,40,5297.82,False,False,False,False,0,,Sin información transaccional
C000106,Cliente 0106,Affluent,Affluent,1,False,unico,Guayaquil,False,False,40,2414.50,False,False,True,False,1,Food Lover,Food Lover
C000107,Cliente 0107,Mass,Mass,1,False,unico,Guayaquil,False,False,61,670.08,False,False,False,False,0,,Sin información transaccional
C000108,Cliente 0108,PyME,PyME,1,False,unico,Guayaquil,False,False,27,2121.18,False,False,False,False,0,,Sin información transaccional
C000109,Cliente 0109,Affluent,Affluent,1,False,unico,Quito,False,False,48,2444.48,False,True,False,False,1,Streaming Lover,Streaming Lover
C000110,Cliente 0110,Premium,Premium,1,False,unico,Quito,False,False,35,6842.24,False,False,False,False,0,,Sin información transaccional
C000111,Cliente 0111,PyME,PyME,1,False,unico,Quito,False,True,46,2412.35,False,False,False,False,0,,Sin información transaccional
C000112,Cliente 0112,PyME,PyME,1,False,unico,Quito,False,False,38,1584.01,False,False,False,False,0,,Generalista
C000113,Cliente 0113,Mass,Mass,1,False,unico,Guayaquil,False,False,65,741.54,True,False,False,False,1,Travel Lover,Travel Lover
C000114,Cliente 0114,Premium,Premium,1,False,unico,Guayaquil,False,False,57,2243.46,False,False,False,True,1,Tech Lover,Tech Lover
C000115,Cliente 0115,Mass,Mass,1,False,unico,Manta,False,True,34,1717.11,False,False,False,False,0,,Generalista
C000116,Cliente 0116,Affluent,Affluent|Premium,2,True,moda,Loja,False,False,31,2641.54,False,False,False,False,0,,Generalista
C000117,Cliente 0117,Affluent,Affluent,1,False,unico,Manta,False,False,47,2881.36,False,False,False,False,0,,Sin información transaccional
C000118,Cliente 0118,Affluent,Affluent,1,False,unico,Guayaquil,False,False,32,1531.34,False,False,False,False,0,,Generalista
C000119,Cliente 0119,Mass,Mass,1,False,unico,Guayaquil,False,False,42,1054.25,True,False,False,False,1,Travel Lover,Travel Lover
C000120,Cliente 0120,Affluent,Affluent,1,False,unico,Quito,False,False,18,2728.30,False,False,False,False,0,,Generalista
C000121,Cliente 0121,PyME,PyME,1,False,unico,Quito,False,True,25,2508.43,False,False,False,False,0,,Generalista
C000122,Cliente 0122,Affluent,Affluent|PyME,2,True,moda,Guayaquil,False,False,24,1393.52,False,False,False,True,1,Tech Lover,Tech Lover
C000123,Cliente 0123,Premium,Premium,1,False,unico,Loja,False,False,18,3945.89,False,False,False,False,0,,Generalista
C000124,Cliente 0124,Joven,Joven,1,False,unico,Guayaquil,False,False,56,561.33,False,False,False,True,1,Tech Lover,Tech Lover
C000125,Cliente 0125,Mass,Affluent|Mass,2,True,moda,Loja,False,False,35,935.90,False,False,False,False,0,,Sin información transaccional
C000126,Cliente 0126,Premium,Premium,1,False,unico,Loja,False,False,51,2957.88,False,False,False,False,0,,Generalista
C000127,Cliente 0127,Premium,Premium,1,False,unico,Cuenca,False,False,37,6218.82,False,False,False,False,0,,Sin información transaccional
C000128,Cliente 0128,Affluent,Affluent,1,False,unico,Guayaquil,False,True,42,2200.52,False,False,False,False,0,,Generalista
C000129,Cliente 0129,Mass,Mass,1,False,unico,Guayaquil,False,False,35,1417.06,False,False,False,True,1,Tech Lover,Tech Lover
C000130,Cliente 0130,Affluent,Affluent,1,False,unico,Quito,False,False,40,1565.48,False,False,True,False,1,Food Lover,Food Lover
C000131,Cliente 0131,Mass,Mass,1,False,unico,Guayaquil,False,False,31,2146.75,False,False,True,False,1,Food Lover,Food Lover
C000132,Cliente 0132,Affluent,Affluent,1,False,unico,Manta,False,False,28,1917.03,False,False,False,False,0,,Sin información transaccional
C000133,Cliente 0133,Affluent,Affluent,1,False,unico,Cuenca,False,False,49,1819.21,False,False,True,False,1,Food Lover,Food Lover
C000134,Cliente 0134,Mass,Mass,1,False,unico,Manta,False,True,37,568.13,False,False,False,False,0,,Generalista
C000135,Cliente 0135,Premium,Affluent|Premium,2,True,moda,Quito,False,False,18,4219.85,False,False,False,False,0,,Generalista
C000136,Cliente 0136,Affluent,Affluent,1,False,unico,Quito,False,False,29,2702.05,False,False,False,False,0,,Sin información transaccional
C000137,Cliente 0137,Joven,Joven,1,False,unico,Manta,False,False,56,511.61,False,False,False,False,0,,Sin información transaccional
C000138,Cliente 0138,Mass,Mass,1,False,unico,Quito,False,False,54,825.89,False,True,False,False,1,Streaming Lover,Streaming Lover
C000139,Cliente 0139,Affluent,Affluent,1,False,unico,Loja,False,False,74,1675.95,False,False,False,False,0,,Generalista
C000140,Cliente 0140,Mass,Mass,1,False,unico,Quito,False,False,35,2554.25,False,False,False,False,0,,Sin información transaccional
C000141,Cliente 0141,Affluent,Affluent,1,False,unico,Quito,False,False,51,2728.62,True,False,False,False,1,Travel Lover,Travel Lover
C000142,Cliente 0142,Premium,Premium,1,False,unico,Guayaquil,False,False,20,7922.70,False,False,False,False,0,,Generalista
C000143,Cliente 0143,PyME,PyME,1,False,unico,Guayaquil,False,False,26,1499.27,False,False,False,False,0,,Generalista
C000144,Cliente 0144,Premium,Premium,1,False,unico,Quito,False,False,42,5164.52,False,False,False,False,0,,Sin información transaccional
C000145,Cliente 0145,Joven,Joven,1,False,unico,Cuenca,False,False,37,1649.94,False,False,True,False,1,Food Lover,Food Lover
C000146,Cliente 0146,Mass,Mass|PyME,2,True,moda,Guayaquil,False,False,56,1151.49,False,False,False,False,0,,Generalista
C000147,Cliente 0147,Premium,Premium,1,False,unico,Quito,False,False,59,3968.35,False,False,False,True,1,Tech Lover,Tech Lover
C000148,Cliente 0148,Mass,Joven|Mass,2,True,moda,Loja,False,False,29,705.23,False,False,False,False,0,,Sin información transaccional
C000149,Cliente 0149,Mass,Mass,1,False,unico,Quito,False,False,37,1125.25,False,False,True,False,1,Food Lover,Food Lover
C000150,Cliente 0150,Mass,Mass,1,False,unico,Guayaquil,False,False,52,472.26,False,True,False,True,2,Streaming Lover|Tech Lover,Streaming Lover
C000151,Cliente 0151,Premium,Affluent|Premium,2,True,moda,Guayaquil,False,False,18,2238.32,False,False,False,False,0,,Generalista
C000152,Cliente 0152,Affluent,Affluent,1,False,unico,Manta,False,False,35,1951.46,False,True,True,False,2,Streaming Lover|Food Lover,Food Lover
C000153,Cliente 0153,PyME,Mass|PyME,2,True,moda,Loja,False,False,48,1866.27,False,False,False,False,0,,Generalista
C000154,Cliente 0154,Premium,Premium|PyME,2,True,moda,Quito,False,False,34,2386.12,True,False,False,False,1,Travel Lover,Travel Lover
C000155,Cliente 0155,Premium,Premium,1,False,unico,Guayaquil,False,False,44,4576.61,False,False,False,True,1,Tech Lover,Tech Lover
C000156,Cliente 0156,Joven,Joven,1,False,unico,Quito,False,False,53,819.40,True,False,False,False,1,Travel Lover,Travel Lover
C000157,Cliente 0157,Joven,Joven,1,False,unico,Quito,False,True,50,476.96,False,False,True,False,1,Food Lover,Food Lover
C000158,Cliente 0158,Premium,Premium,1,False,unico,Loja,False,False,31,2213.43,False,False,False,False,0,,Sin información transaccional
C000159,Cliente 0159,Joven,Affluent|Joven,2,True,moda,Guayaquil,False,False,50,675.06,False,False,True,False,1,Food Lover,Food Lover
C000160,Cliente 0160,Premium,Premium,1,False,unico,Guayaquil,False,True,46,5649.60,False,False,True,False,1,Food Lover,Food Lover
C000161,Cliente 0161,Premium,Premium,1,False,unico,Ambato,False,False,36,3315.29,False,True,False,False,1,Streaming Lover,Streaming Lover
C000162,Cliente 0162,PyME,PyME,1,False,unico,Ambato,False,False,28,2851.56,False,False,False,False,0,,Sin información transaccional
C000163,Cliente 0163,Mass,Mass,1,False,unico,Quito,False,False,48,838.21,False,False,False,False,0,,Generalista
C000164,Cliente 0164,Mass,Mass,1,False,unico,Cuenca,False,False,47,767.23,False,False,True,True,2,Food Lover|Tech Lover,Tech Lover
C000165,Cliente 0165,Affluent,Affluent,1,False,unico,Quito,False,False,45,1891.00,True,False,False,False,1,Travel Lover,Travel Lover
C000166,Cliente 0166,PyME,PyME,1,False,unico,Quito,False,False,53,4279.25,False,False,False,False,0,,Sin información transaccional
C000167,Cliente 0167,Mass,Mass,1,False,unico,Quito,False,False,51,752.33,False,False,False,False,0,,Generalista
C000168,Cliente 0168,Premium,Premium|PyME,2,True,moda,Cuenca,False,False,54,2986.96,False,False,True,False,1,Food Lover,Food Lover
C000169,Cliente 0169,PyME,PyME,1,False,unico,Quito,False,False,23,4894.01,False,False,False,False,0,,Sin información transaccional
C000170,Cliente 0170,Affluent,Affluent,1,False,unico,Quito,False,False,24,2017.19,True,False,False,False,1,Travel Lover,Travel Lover
C000171,Cliente 0171,Mass,Mass,1,False,unico,Ambato,False,False,28,854.99,False,False,False,False,0,,Sin información transaccional
C000172,Cliente 0172,Mass,Mass,1,False,unico,Quito,False,False,35,827.51,False,False,False,False,0,,Generalista
C000173,Cliente 0173,Mass,Mass,1,False,unico,Quito,False,False,43,1110.88,False,True,False,False,1,Streaming Lover,Streaming Lover
C000174,Cliente 0174,Mass,Mass,1,False,unico,Cuenca,False,False,35,1247.27,False,False,False,False,0,,Sin información transaccional
C000175,Cliente 0175,Premium,Premium,1,False,unico,Cuenca,False,False,47,3004.56,False,False,False,False,0,,Generalista
C000176,Cliente 0176,Mass,Mass,1,False,unico,Guayaquil,False,False,39,491.22,False,False,False,False,0,,Sin información transaccional
C000177,Cliente 0177,Affluent,Affluent,1,False,unico,Quito,False,True,32,2256.64,False,True,False,False,1,Streaming Lover,Streaming Lover
C000178,Cliente 0178,Premium,Premium,1,False,unico,Quito,False,False,41,3750.70,False,False,False,False,0,,Sin información transaccional
C000179,Cliente 0179,Affluent,Affluent,1,False,unico,Ambato,False,False,23,1926.31,False,False,False,False,0,,Generalista
C000180,Cliente 0180,Joven,Joven,1,False,unico,Guayaquil,False,False,34,643.32,False,False,True,False,1,Food Lover,Food Lover
C000181,Cliente 0181,Affluent,Affluent,1,False,unico,Quito,False,False,36,2016.02,False,False,True,False,1,Food Lover,Food Lover
C000182,Cliente 0182,Joven,Joven,1,False,unico,Manta,False,True,41,655.96,False,False,False,False,0,,Sin información transaccional
C000183,Cliente 0183,Mass,Mass,1,False,unico,Guayaquil,False,False,54,852.35,False,False,True,False,1,Food Lover,Food Lover
C000184,Cliente 0184,Affluent,Affluent|PyME,2,True,moda,Cuenca,False,False,27,2082.50,False,False,True,False,1,Food Lover,Food Lover
C000185,Cliente 0185,Affluent,Affluent,1,False,unico,Quito,False,False,18,1403.69,False,False,False,False,0,,Generalista
C000186,Cliente 0186,Premium,Premium,1,False,unico,Manta,False,False,41,1907.37,False,False,False,False,0,,Sin información transaccional
C000187,Cliente 0187,PyME,PyME,1,False,unico,Quito,False,False,38,2366.51,False,False,False,True,1,Tech Lover,Tech Lover
C000188,Cliente 0188,Joven,Joven,1,False,unico,Guayaquil,False,False,31,914.66,True,False,False,False,1,Travel Lover,Travel Lover
C000189,Cliente 0189,Premium,Premium,1,False,unico,Ambato,False,False,26,3262.28,False,False,True,False,1,Food Lover,Food Lover
C000190,Cliente 0190,Joven,Joven,1,False,unico,Guayaquil,False,False,68,481.66,False,False,False,False,0,,Generalista
C000191,Cliente 0191,Mass,Mass,1,False,unico,Cuenca,False,False,35,1357.34,True,False,True,False,2,Travel Lover|Food Lover,Travel Lover
C000192,Cliente 0192,PyME,PyME,1,False,unico,Cuenca,False,False,42,3163.61,False,False,False,False,0,,Generalista
C000193,Cliente 0193,Affluent,Affluent,1,False,unico,Cuenca,False,False,38,2968.92,False,False,False,False,0,,Sin información transaccional
C000194,Cliente 0194,Mass,Mass|Premium,2,True,moda,Cuenca,False,False,37,980.57,False,False,True,False,1,Food Lover,Food Lover
C000195,Cliente 0195,Mass,Mass,1,False,unico,Cuenca,False,False,51,550.60,False,False,False,True,1,Tech Lover,Tech Lover
C000196,Cliente 0196,Joven,Joven,1,False,unico,Quito,False,False,50,350.53,False,False,True,False,1,Food Lover,Food Lover
C000197,Cliente 0197,Mass,Affluent|Mass,2,True,moda,Guayaquil,False,False,40,1318.72,False,False,False,False,0,,Generalista
C000198,Cliente 0198,Mass,Mass,1,False,unico,Guayaquil,False,False,52,1269.30,False,False,False,False,0,,Sin información transaccional
C000199,Cliente 0199,Mass,Mass,1,False,unico,Ambato,False,False,47,1013.70,False,False,False,False,0,,Generalista
C000200,Cliente 0200,Mass,Mass|Premium,2,True,moda,Manta,False,False,36,1255.17,False,False,True,False,1,Food Lover,Food Lover
C000201,Cliente 0201,PyME,PyME,1,False,unico,Cuenca,False,False,34,4113.93,False,False,False,False,0,,Generalista
C000202,Cliente 0202,Mass,Mass,1,False,unico,Quito,False,False,43,725.19,False,False,False,False,0,,Generalista
C000203,Cliente 0203,Mass,Mass,1,False,unico,Cuenca,False,False,49,1126.81,False,False,False,False,0,,Sin información transaccional
