consumo_id,registro_id,fila_origen,cliente_producto_id,cliente_id,producto,fecha_consumo,categoria_consumo,monto_consumo,canal,consumo_outlier_iqr
CON-000329,REG-000329,329,C000493__TARJETA_CREDITO,C000493,Tarjeta de Crédito,2025-01-01,Technology,88.95,POS,False
CON-000835,REG-000835,835,C000527__TARJETA_CREDITO,C000527,Tarjeta de Crédito,2025-01-01,Others,8.13,POS,False
CON-001603,REG-001603,1603,C001886__TARJETA_CREDITO,C001886,Tarjeta de Crédito,2025-01-01,Food,117.56,POS,False
CON-001627,REG-001627,1627,C000358__TARJETA_CREDITO,C000358,Tarjeta de Crédito,2025-01-01,Travel,127.53,POS,False
CON-002070,REG-002070,2070,C000184__TARJETA_CREDITO,C000184,Tarjeta de Crédito,2025-01-01,Food,107.15,POS,False
CON-002158,REG-002158,2158,C000836__TARJETA_CREDITO,C000836,Tarjeta de Crédito,2025-01-01,Entertainment,22.69,App,False
CON-002571,REG-002571,2571,C001895__TARJETA_CREDITO,C001895,Tarjeta de Crédito,2025-01-01,Entertainment,106.61,POS,False
CON-003637,REG-003637,3637,C001165__TARJETA_CREDITO,C001165,Tarjeta de Crédito,2025-01-01,Entertainment,40.91,App,False
CON-004405,REG-004405,4405,C001728__TARJETA_CREDITO,C001728,Tarjeta de Crédito,2025-01-01,Streaming,83.00,Web,False
CON-004612,REG-004612,4612,C001895__TARJETA_CREDITO,C001895,Tarjeta de Crédito,2025-01-01,Streaming,121.11,App,False
CON-006082,REG-006082,6082,C001816__TARJETA_CREDITO,C001816,Tarjeta de Crédito,2025-01-01,Education,101.22,Web,False
CON-006637,REG-006637,6637,C000925__TARJETA_CREDITO,C000925,Tarjeta de Crédito,2025-01-01,Education,81.24,App,False
CON-006990,REG-006990,6990,C000311__TARJETA_CREDITO,C000311,Tarjeta de Crédito,2025-01-01,Others,27.72,POS,False
CON-007496,REG-007496,7496,C001455__TARJETA_CREDITO,C001455,Tarjeta de Crédito,2025-01-01,Supermarket,36.37,Web,False
CON-009130,REG-009130,9130,C001545__TARJETA_CREDITO,C001545,Tarjeta de Crédito,2025-01-01,Technology,607.22,App,True
CON-009640,REG-009640,9640,C000390__TARJETA_CREDITO,C000390,Tarjeta de Crédito,2025-01-01,Travel,175.51,App,False
CON-009707,REG-009707,9707,C001745__TARJETA_CREDITO,C001745,Tarjeta de Crédito,2025-01-01,Education,16.18,App,False
CON-009770,REG-009770,9770,C001479__TARJETA_CREDITO,C001479,Tarjeta de Crédito,2025-01-01,Technology,12.33,POS,False
CON-010880,REG-010880,10880,C000700__TARJETA_CREDITO,C000700,Tarjeta de Crédito,2025-01-01,Technology,34.94,Branch,False
CON-011248,REG-011248,11248,C000598__TARJETA_CREDITO,C000598,Tarjeta de Crédito,2025-01-01,Entertainment,485.92,POS,True
CON-011467,REG-011467,11467,C001106__TARJETA_CREDITO,C001106,Tarjeta de Crédito,2025-01-01,Supermarket,12.41,POS,False
CON-011982,REG-011982,11982,C000614__TARJETA_CREDITO,C000614,Tarjeta de Crédito,2025-01-01,Supermarket,597.56,Web,True
CON-011985,REG-011985,11985,C001472__TARJETA_CREDITO,C001472,Tarjeta de Crédito,2025-01-01,Streaming,35.56,Web,False
CON-013248,REG-013248,13248,C000201__TARJETA_CREDITO,C000201,Tarjeta de Crédito,2025-01-01,Travel,486.85,App,True
CON-014551,REG-014551,14551,C001607__TARJETA_CREDITO,C001607,Tarjeta de Crédito,2025-01-01,Supermarket,53.12,Branch,False
CON-015188,REG-015188,15188,C000725__TARJETA_CREDITO,C000725,Tarjeta de Crédito,2025-01-01,Streaming,58.05,App,False
CON-016263,REG-016263,16263,C000682__TARJETA_CREDITO,C000682,Tarjeta de Crédito,2025-01-01,Food,139.33,Branch,False
CON-016451,REG-016451,16451,C000625__TARJETA_CREDITO,C000625,Tarjeta de Crédito,2025-01-01,Health,26.66,Branch,False
CON-017743,REG-017743,17743,C000723__TARJETA_CREDITO,C000723,Tarjeta de Crédito,2025-01-01,Travel,19.64,POS,False
CON-018883,REG-018883,18883,C000821__TARJETA_CREDITO,C000821,Tarjeta de Crédito,2025-01-01,Streaming,170.39,App,False
CON-020146,REG-020146,20146,C000340__TARJETA_CREDITO,C000340,Tarjeta de Crédito,2025-01-01,Food,189.91,POS,False
CON-021889,REG-021889,21889,C002070__TARJETA_CREDITO,C002070,Tarjeta de Crédito,2025-01-01,Entertainment,42.13,POS,False
CON-002269,REG-002269,2269,C001427__TARJETA_CREDITO,C001427,Tarjeta de Crédito,2025-01-02,Entertainment,33.06,Web,False
CON-005741,REG-005741,5741,C000608__TARJETA_CREDITO,C000608,Tarjeta de Crédito,2025-01-02,Food,25.45,POS,False
CON-005919,REG-005919,5919,C000141__TARJETA_CREDITO,C000141,Tarjeta de Crédito,2025-01-02,Travel,260.12,POS,False
CON-007044,REG-007044,7044,C001618__TARJETA_CREDITO,C001618,Tarjeta de Crédito,2025-01-02,Food,362.98,Branch,True
CON-007829,REG-007829,7829,C001156__TARJETA_CREDITO,C001156,Tarjeta de Crédito,2025-01-02,Entertainment,114.18,POS,False
CON-008489,REG-008489,8489,C000854__TARJETA_CREDITO,C000854,Tarjeta de Crédito,2025-01-02,Travel,58.10,Web,False
CON-010014,REG-010014,10014,C001879__TARJETA_CREDITO,C001879,Tarjeta de Crédito,2025-01-02,Food,158.68,POS,False
CON-012319,REG-012319,12319,C001790__TARJETA_CREDITO,C001790,Tarjeta de Crédito,2025-01-02,Food,279.95,ATM,False
CON-012716,REG-012716,12716,C001222__TARJETA_CREDITO,C001222,Tarjeta de Crédito,2025-01-02,Fuel,28.68,App,False
CON-013118,REG-013118,13118,C000427__TARJETA_CREDITO,C000427,Tarjeta de Crédito,2025-01-02,Technology,244.13,Web,False
CON-013206,REG-013206,13206,C000054__TARJETA_CREDITO,C000054,Tarjeta de Crédito,2025-01-02,Others,300.63,Branch,False
CON-013226,REG-013226,13226,C001539__TARJETA_CREDITO,C001539,Tarjeta de Crédito,2025-01-02,Travel,16.69,App,False
CON-015519,REG-015519,15519,C000392__TARJETA_CREDITO,C000392,Tarjeta de Crédito,2025-01-02,Technology,29.84,App,False
CON-015699,REG-015699,15699,C000816__TARJETA_CREDITO,C000816,Tarjeta de Crédito,2025-01-02,Others,232.27,Branch,False
CON-015938,REG-015938,15938,C001475__TARJETA_CREDITO,C001475,Tarjeta de Crédito,2025-01-02,Technology,46.85,POS,False
CON-017698,REG-017698,17698,C002113__TARJETA_CREDITO,C002113,Tarjeta de Crédito,2025-01-02,Supermarket,647.60,Web,True
CON-017847,REG-017847,17847,C001726__TARJETA_CREDITO,C001726,Tarjeta de Crédito,2025-01-02,Food,18.21,POS,False
CON-021339,REG-021339,21339,C001658__TARJETA_CREDITO,C001658,Tarjeta de Crédito,2025-01-02,Food,23.04,Web,False
CON-021676,REG-021676,21676,C001712__TARJETA_CREDITO,C001712,Tarjeta de Crédito,2025-01-02,Travel,190.53,POS,False
CON-001171,REG-001171,1171,C001452__TARJETA_CREDITO,C001452,Tarjeta de Crédito,2025-01-03,Supermarket,64.49,Web,False
CON-001662,REG-001662,1662,C000422__TARJETA_CREDITO,C000422,Tarjeta de Crédito,2025-01-03,Technology,154.83,POS,False
CON-002466,REG-002466,2466,C000581__TARJETA_CREDITO,C000581,Tarjeta de Crédito,2025-01-03,Travel,203.81,POS,False
CON-003799,REG-003799,3799,C002078__TARJETA_CREDITO,C002078,Tarjeta de Crédito,2025-01-03,Entertainment,84.36,Web,False
CON-004430,REG-004430,4430,C000709__TARJETA_CREDITO,C000709,Tarjeta de Crédito,2025-01-03,Technology,66.02,POS,False
