cliente_producto_id,cliente_id,producto,tipo_producto,saldo_producto,saldo_desconocido,saldo_negativo,saldo_outlier_iqr,cupo_credito,fecha_vencimiento,estado_producto,fecha_primer_registro,fecha_ultimo_registro,cantidad_registros
C000001__CREDITO_CONSUMO,C000001,Crédito de Consumo,Deuda,13702.64,False,False,False,,2027-10-19,Activo,2025-08-27,2025-08-27,1
C000001__TARJETA_CREDITO,C000001,Tarjeta de Crédito,Deuda,2613.61,False,False,False,6200.00,2029-10-06,Activo,2025-02-27,2026-04-16,10
C000002__CREDITO_HIPOTECARIO,C000002,Crédito Hipotecario,Deuda,73155.65,False,False,False,,2029-09-11,Activo,2025-08-13,2026-08-22,3
C000002__TARJETA_CREDITO,C000002,Tarjeta de Crédito,Deuda,383.89,False,False,False,800.00,2029-06-22,Activo,2025-02-18,2026-07-21,5
C000003__TARJETA_CREDITO,C000003,Tarjeta de Crédito,Deuda,2135.69,False,False,False,6600.00,2028-06-06,Activo,2025-03-01,2026-07-17,7
C000004__CTA_AHORROS,C000004,Cuenta de Ahorros,Depósito,3016.39,False,False,False,,,Activo,2025-02-25,2026-03-10,3
C000005__CREDITO_CONSUMO,C000005,Crédito de Consumo,Deuda,19773.56,False,False,False,,2027-10-18,Activo,2025-06-20,2025-06-20,1
C000005__CTA_AHORROS,C000005,Cuenta de Ahorros,Depósito,9224.12,False,False,False,,,Activo,2025-02-21,2025-02-21,1
C000006__CREDITO_VEHICULAR,C000006,Crédito Vehicular,Deuda,10541.94,False,False,False,,2030-02-10,Activo,2025-03-16,2025-11-20,2
C000006__CREDITO_CONSUMO,C000006,Crédito de Consumo,Deuda,10010.50,False,False,False,,2029-09-03,Activo,2025-11-18,2025-11-18,1
C000006__TARJETA_CREDITO,C000006,Tarjeta de Crédito,Deuda,823.30,False,False,False,1400.00,2029-09-30,Activo,2025-03-11,2025-11-18,4
C000007__TARJETA_CREDITO,C000007,Tarjeta de Crédito,Deuda,1600.20,False,False,False,6400.00,2029-10-02,Activo,2025-02-10,2026-06-26,8
C000008__CREDITO_HIPOTECARIO,C000008,Crédito Hipotecario,Deuda,51495.64,False,False,False,,2031-11-29,Activo,2025-08-22,2025-11-09,2
C000008__CREDITO_CONSUMO,C000008,Crédito de Consumo,Deuda,11353.69,False,False,False,,2029-11-15,Activo,2025-10-13,2025-10-13,1
C000008__CTA_CORRIENTE,C000008,Cuenta Corriente,Depósito,6341.33,False,False,False,,,Activo,2025-02-09,2025-09-12,4
C000008__TARJETA_CREDITO,C000008,Tarjeta de Crédito,Deuda,990.27,False,False,False,6200.00,2030-07-08,Activo,2025-04-06,2026-07-22,12
C000009__CREDITO_CONSUMO,C000009,Crédito de Consumo,Deuda,5529.90,False,False,False,,2032-05-29,Activo,2025-06-12,2026-07-16,2
