cliente_id	nombre_cliente	segmento_cliente	ciudad	edad	ingreso_estimado	producto	saldo_producto	cupo_credito	fecha_vencimiento	fecha_movimiento	categoria_consumo	monto_consumo	canal	estado_producto
C000728	Cliente 0728	Mass	Loja	50	1019.9	Cuenta de Ahorros	1498.82			2026-01-15	N/A	0	Branch	Activo
C001264	Cliente 1264	Mass	Guayaquil	57	471.1	Crédito Vehicular	20725.8		2029-11-14	2026-03-20	N/A	0	App	Activo
C001515	Cliente 1515	Joven	Manta	45	639.34	Tarjeta de Crédito	689.27	1200	2029-03-16	2025-11-06	Food	16.63	Branch	Activo
C002171	Cliente 2171	Mass	Guayaquil	23	1159.3	Cuenta de Ahorros	5001.88			2025-06-09	N/A	0	App	Activo
C001848	Cliente 1848	Premium	Guayaquil	46	3037.26	Tarjeta de Crédito	1955.0	8200	2028-12-28	2025-03-04	Food	51.91	App	Activo
C000651	Cliente 0651	Joven	Cuenca	49	1023.6	Cuenta de Ahorros	4082.56			2025-07-28	N/A	0	Web	Activo
C001846	Cliente 1846	Mass	Ambato	50	829.13	Tarjeta de Crédito	649.01	1200	2029-07-08	2026-04-10	Education	14.63	Web	Activo
C000851	Cliente 0851	Joven	Quito	24	1043.27	Tarjeta de Crédito	363.7	1100	2027-03-25	2025-09-01	Technology	48.49	POS	Activo
C000041	Cliente 0041	Joven	Quito	42	591.95	Crédito Hipotecario	63176.59		2029-06-21	2025-10-03	N/A	0	Web	Activo
C000856	Cliente 0856	Premium	Quito	36	4550.48	Crédito Vehicular	17442.6		2027-06-28	2025-11-21	N/A	0	App	Activo
C000562	Cliente 0562	Mass	Manta	22	963.67	Tarjeta de Crédito	855.77	1800	2027-09-25	2025-12-23	Supermarket	46.84	Branch	Activo
C001948	Cliente 1948	Joven	Quito	43	432.69	Tarjeta de Crédito	482.45	1200	2026-11-13	2026-08-28	Health	5.44	POS	Activo
C001174	Cliente 1174	Mass	Guayaquil	42	729.85	Cuenta Corriente	1528.4			2026-04-13	N/A	0	Web	Activo
C000431	Cliente 0431	Mass	Guayaquil	46	943.23	Tarjeta de Crédito	1312.74	2800	2030-04-01	2025-09-11	Others	130.45	POS	Activo
C002010	Cliente 2010	Premium	Ambato	35	4058.22	Cuenta Corriente	6441.1			2025-08-20	N/A	0	ATM	Activo
C002115	Cliente 2115	Joven	Guayaquil	18	703.16	Tarjeta de Crédito	0	1000	2027-04-26	2026-06-14	Health	10.65	POS	Activo
C001604	Cliente 1604	Mass	Guayaquil	21	1058.16	Crédito Vehicular	23759.75		2030-08-21	2026-02-25	N/A	0	Branch	Activo
C002190	Cliente 2190	Mass	Quito	38	1141.09	Cuenta de Ahorros	2527.68			2025-06-09	N/A	0	Branch	Activo
C002059	Cliente 2059	Mass	Quito	59	514.32	Tarjeta de Crédito	358.44	1500	2029-01-16	2025-06-30	Technology	63.87	App	Activo
C000154	Cliente 0154	Premium	Quito	34	2386.12	Tarjeta de Crédito	347.24	5800	2026-10-13	2026-01-25	Travel	387.56	App	Activo
C000801	Cliente 0801	Mass	Cuenca	39	1308.02	Tarjeta de Crédito	0	2200	2029-08-21	2026-05-14	Streaming	42.87	POS	Activo
C000873	Cliente 0873	Mass	Guayaquil	53	599.16	Crédito Hipotecario	74186.47		2027-05-18	2025-10-24	N/A	0	Branch	Activo
C001939	Cliente 1939	Mass	Guayaquil	18	616.4	Tarjeta de Crédito	427.56	1500	2028-10-25	2026-02-15	Entertainment	51.99	POS	Activo
C001780	Cliente 1780	Affluent	Quito	51	3527.59	Tarjeta de Crédito	2240.35	7100	2029-12-07	2026-06-13	Food	116.85	POS	Activo
C001250	Cliente 1250	PyME	Guayaquil	35	2916.91	Tarjeta de Crédito	1244.39	7500	2029-08-03	2025-10-19	Food	184.94	POS	Activo
C000919	Cliente 0919	Joven	Quito	46	1045.75	Tarjeta de Crédito	872.95	2000	2028-07-19	2026-04-26	Entertainment	189.79	POS	Activo
C001262	Cliente 1262	Affluent	Guayaquil	42	1949.59	Crédito de Consumo	2046.82		2027-11-12	2025-10-22	N/A	0	App	Activo
C001281	Cliente 1281	Premium	Guayaquil	50	5937.85	Tarjeta de Crédito	3745.24	11300	2028-06-03	2025-03-16	Health	302.17	POS	Activo
C000224	Cliente 0224	Joven	Quito	29	503.52	Tarjeta de Crédito	357.5	1000	2029-10-22	2026-07-09	Education	44.73	POS	Activo
C001849	Cliente 1849	Mass	Loja	34	529.01	Crédito Vehicular	18607.73		2028-08-30	2025-10-22	N/A	0	Branch	Activo
C002126	Cliente 2126	Affluent	Guayaquil	31	2710.74	Tarjeta de Crédito	410.12	7800	2028-10-09	2025-09-06	Entertainment	130.28	Web	Activo
C002093	Cliente 2093	Affluent	Quito	30	1882.98	Tarjeta de Crédito	1818.49	4400	2030-10-01	2026-05-06	Health	153.95	POS	Activo
C001045	Cliente 1045	Joven	Guayaquil	23	1076.74	Crédito de Consumo	4992.8		2031-07-19	2026-04-24	N/A	0	App	Activo
C000617	Cliente 0617	Premium	Guayaquil	18	3236.15	Tarjeta de Crédito	740.32	7700	2026-12-29	2026-08-28	Supermarket	67.38	POS	Activo
C000716	Cliente 0716	Mass	Guayaquil	19	913.03	Tarjeta de Crédito	561.02	1400	2027-02-05	2025-10-09	Entertainment	17.24	App	Activo
C000508	Cliente 0508	Affluent	Quito	35	1331.37	Tarjeta de Crédito	1407.41	2000	2028-08-31	2025-05-25	Entertainment	79.19	POS	Activo
